indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,EMPL_UNE,PC_IND,AL	: 	: 	: 	: 	: 	: 	60 	: 
I_IUMD,EMPL_UNE,PC_IND,AT	53 	60 	66 	74 	74 	83 	82 	90 
I_IUMD,EMPL_UNE,PC_IND,BA	: 	: 	: 	: 	: 	: 	73 	65 
I_IUMD,EMPL_UNE,PC_IND,BE	49 	52 	67 	77 	80 	84 	86 	93 
I_IUMD,EMPL_UNE,PC_IND,BG	15 	22 	31 	44 	53 	67 	68 	77 
I_IUMD,EMPL_UNE,PC_IND,CH	: 	: 	67 	: 	: 	76 b	: 	93 
I_IUMD,EMPL_UNE,PC_IND,CY	26 	31 	47 	65 	70 	78 	83 	87 
I_IUMD,EMPL_UNE,PC_IND,CZ	: u	32 	43 	51 	: u	69 	76 	83 
I_IUMD,EMPL_UNE,PC_IND,DE	37 	51 	64 	72 	76 	83 	87 	86 
I_IUMD,EMPL_UNE,PC_IND,DK	67 	73 	83 	85 	88 	90 	94 	96 
I_IUMD,EMPL_UNE,PC_IND,EA	39 	48 	59 	64 	67 	73 	77 	82 
I_IUMD,EMPL_UNE,PC_IND,EE	42 	52 	64 b	69 	70 	76 	80 	87 
I_IUMD,EMPL_UNE,PC_IND,EL	28 	32 	46 	55 	58 	64 	67 	75 
I_IUMD,EMPL_UNE,PC_IND,ES	44 	58 	71 	76 	82 	87 	89 	93 
I_IUMD,EMPL_UNE,PC_IND,EU27_2007	41 	49 	59 	65 	67 	73 	77 	: 
I_IUMD,EMPL_UNE,PC_IND,EU27_2020	37 	45 	55 	62 	64 	71 	75 	81 
I_IUMD,EMPL_UNE,PC_IND,EU28	41 	49 	58 	65 	67 	73 	77 	83 
I_IUMD,EMPL_UNE,PC_IND,FI	64 	68 	76 	81 	84 	88 	87 	: 
I_IUMD,EMPL_UNE,PC_IND,FR	49 	58 	67 	70 	69 b	78 	82 	89 
I_IUMD,EMPL_UNE,PC_IND,HR	43 	46 	47 	60 	64 	66 	74 	84 
I_IUMD,EMPL_UNE,PC_IND,HU	21 	35 	52 	64 	69 	74 	: u	85 
I_IUMD,EMPL_UNE,PC_IND,IE	58 	65 	71 	77 	76 	82 	86 	90 
I_IUMD,EMPL_UNE,PC_IND,IS	61 	61 	70 	: 	: 	87 	87 	90 
I_IUMD,EMPL_UNE,PC_IND,IT	20 	20 	26 	28 	32 	34 	43 	55 
I_IUMD,EMPL_UNE,PC_IND,LT	17 	27 	34 	41 	51 	64 	71 	79 
I_IUMD,EMPL_UNE,PC_IND,LU	68 	71 	75 	80 	82 	86 	91 b	93 
I_IUMD,EMPL_UNE,PC_IND,LV	28 	35 	40 	49 	56 b	65 	67 	77 
