accommod,unit,nace_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
BEDPL,NR,I551,AT	607010 	615541 	609393 	601945 	600342 	598742 	601483 	594841 	594357 	589293 	587899 	579758 	573726 	572514 	571377 	570785 	566274 	569306 	587305 	588213 	576602 	584889 	633601 	640199 	646125 	650020 	651003 	653586 	654127 	650559 
BEDPL,NR,I551,BE	: 	136406 	129456 	129232 	129307 	127835 	128641 	128703 	130664 	128494 	126134 	125492 	124811 	123775 	120668 	122043 	122385 	123356 	121512 	119165 	119365 	116297 	117513 	117299 	114887 	108811 	108205 	101804 	86472 	93710 
BEDPL,NR,I551,BG	: 	286219 	293494 	281869 	279090 	271526 	262196 	261159 	241665 	245442 	249193 	239706 	231303 	211565 	200940 	170956 	143960 	133369 	117369 	121222 	100663 	112002 	99953 	107111 	118112 	114400 	127450 	124680 	154350 	262966 
BEDPL,NR,I551,CH	: 	274792 	: 	271710 	273507 	272636 	271298 	271168 	273969 	275193 	273974 	270487 	270146 	271591 	274035 	: 	: 	259004 	260122 	259721 	260592 	260290 	261482 	262471 	264983 	264824 	265136 	266150 	267067 	269759 
BEDPL,NR,I551,CY	: 	86252 	84977 	83251 	84426 	85150 	84715 	84217 	83228 	83888 	84327 	85681 	87804 	89490 	91264 	92239 	91419 	90112 	87834 	84479 	83347 	85161 	83288 	83517 	77259 	74671 	72211 	68066 	61871 	57602 
BEDPL,NR,I551,CZ	: 	327572 	317361 	317756 	314210 	306430 	317875 	319692 b	261858 	255882 	260736 	258076 	248077 	236104 	232211 	229689 	226770 	223392 	218645 	217664 	203819 	202957 	195733 	167058 	117198 	93771 	86149 	78221 	64214 	94514 
BEDPL,NR,I551,DE	: 	1846611 	1811615 	1784654 	1778206 	1763742 	1757624 	1751024 	1749435 	1721826 	1693973 	1676738 	1643748 	1630736 	1621118 	1609027 	1611106 	1607700 	1602960 	1590332 	1561830 	1546862 	1527228 	1490612 	1446748 	1380713 	1321470 	1166436 	1140334 	1126376 
BEDPL,NR,I551,DK	: 	97642 	93386 	90503 	89371 	90433 	87129 	87389 	87015 	81522 	77448 	73491 	73384 	70769 	70049 	70293 	68393 	67069 	66472 	62905 	60513 	59772 	59339 	60080 	98991 	99275 	97058 	96024 	92524 	88468 
BEDPL,NR,I551,EA	: 	10250760 e	10121010 e	10021347 	10007969 	9889554 	: 	9731448 	9685631 	9509433 	9369860 	9255390 	8871155 	8716648 	8606669 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BEDPL,NR,I551,EE	: 	34108 	34147 	32404 	32620 	32437 	31989 	31590 	31349 	30324 	30826 	29760 	28634 	26058 	25228 	22673 	18366 	15895 	17385 	16292 	16034 	13668 	11320 	10826 	10576 	9163 	7481 	: 	: 	: 
BEDPL,NR,I551,EL	: 	822075 	794507 	797995 	801787 	800022 	773269 	771190 	789366 	764437 	731744 	715857 	700933 	693252 	682050 	668271 	644898 	606330 	607614 	607614 	597855 	584834 	577259 	571656 	557188 	508408 	: 	: 	: 	: 
BEDPL,NR,I551,ES	: 	1940264 	1916607 	1893978 	1906827 	1875912 	1867823 	1858702 	1838468 	1784731 	1736937 	1685118 	1642417 	1614545 	1579965 	1511592 	1451922 	1393930 	1333441 	1315697 	1299021 	979325 	972721 	1025208 	1031684 	1053355 	1009241 	1003199 	972292 	929533 
BEDPL,NR,I551,EU27_2007	: 	13925091 e	13758606 e	13623661 	13586008 	13424244 	13411894 	12895682 	12624940 	12475501 	12296418 	11961757 	11715177 	11540646 	11198049 	11138556 	10895254 	10685554 	10460683 	10639232 	10495763 	10050864 	: 	: 	9487331 	9491947 	: 	: 	: 	: 
BEDPL,NR,I551,EU27_2020	: 	12143714 e	11974606 e	11840556 	11795834 	11642826 	: 	11481354 	11369093 	11211005 	11035653 	10886643 	10633284 	10448121 	10339171 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BEDPL,NR,I551,EU28	: 	14094199 e	13925091 e	13791041 	13750683 	13586119 	13573851 	13052474 	12779673 	12627182 	12446487 	12125303 	11878348 	11703814 	11401513 	11337589 	11088792 	10873501 	10648432 	10837078 	10689479 	10250435 	: 	: 	9692565 	9696269 	: 	: 	: 	: 
BEDPL,NR,I551,FI	143023 	143256 	140099 	135177 	134107 	133785 	136891 	135279 	122182 	121127 	120175 	120621 	119397 	118170 	117605 	119941 	120051 	117870 	118493 	117322 	114892 	112289 	109391 	108438 	105030 	106374 	107032 	100869 	97434 	92103 
BEDPL,NR,I551,FR	1308956 	1305914 	1320034 	1312372 	1304692 	1274920 	1258942 	1249322 	1249322 	1246006 	1248448 	1255650 	1253962 	1258294 	1266325 	1241255 	1236396 	1235002 	1202494 	1485863 	1451119 	1467322 	: 	: 	1193340 	1379955 	1410706 	1409264 	1173692 	1087714 
BEDPL,NR,I551,HR	: 	169108 	166485 	167380 	164675 	161875 	161957 	156792 	154733 	151681 	150069 	163546 	163171 	163168 	203464 	199033 	193538 	187947 	187749 	197846 	193716 	199571 	199127 	200968 	205234 	204322 	203356 	: 	: 	: 
BEDPL,NR,I551,HU	: 	183557 	181240 	181407 	177182 	173914 	173156 	170592 	158564 	161381 	157464 	154521 	154088 	158762 	162235 	157970 	158634 	154643 	148225 	143573 	144600 	136413 	133362 	127650 	119109 	85605 	: 	: 	: 	: 
BEDPL,NR,I551,IE	: 	: 	: 	150083 	150083 	151258 	155660 	161165 	166961 	151715 	162713 	168660 	156775 	148077 	148653 	144632 	146231 	144963 	140966 	138579 	135473 	117163 	107425 	96905 	96900 	100000 	89989 	81071 	77395 	70334 
BEDPL,NR,I551,IS	: 	32223 	30708 	29403 	28172 	25023 	22662 	21755 	20862 	19907 	19255 	19255 	18437 	16849 	16639 	15223 	14769 	14009 	12632 	12471 	12471 	12030 	10713 	10209 	9752 	8130 	7894 	7089 	7098 	6397 
BEDPL,NR,I551,IT	: 	2260893 	2239446 	2248225 	2250718 	2241239 	2233823 	2250704 	2253003 	2253342 	2227832 	2201838 	2142786 	2086942 	2028452 	1999729 	1969495 	1929544 	1891281 	1854101 	1807275 	1782382 	1772096 	1764651 	1739543 	1724333 	1724996 	1722977 	1708033 	1703542 
BEDPL,NR,I551,LI	: 	1666 	1596 	1660 	1257 	1288 	1239 	1262 	1121 	1098 	1110 	1195 	1265 	1263 	1189 	1176 	1160 	1270 	1155 	1184 	1194 	1246 	1369 	1333 	1353 	: 	: 	: 	: 	1387 
BEDPL,NR,I551,LT	: 	30900 	28930 	28665 	28585 	28459 	27793 	27453 	26114 	24302 	23839 	22024 	21871 	21504 	19940 	18630 	14346 	11980 	11071 	11489 	11553 	11714 	10307 	9897 	9765 	9887 	10399 	: 	: 	: 
BEDPL,NR,I551,LU	15350 	15439 	15543 	15689 	14542 	14787 	15028 	15469 	15954 	15709 	14709 	14445 	14559 	14239 	14427 	14237 	14638 	14562 	14185 	14352 	14449 	14709 	14776 	14750 	14748 	14705 	14782 	14782 	14782 	14782 
BEDPL,NR,I551,LV	: 	26475 	26599 	26164 	25398 	22781 	22594 	21767 	27067 	27389 	25392 	23541 	20685 	19650 	19229 	17933 	14983 	13744 	13139 	11890 	12453 	13613 	14609 	12388 	13376 	13216 	16429 	9514 	: 	: 
BEDPL,NR,I551,ME	: 	36155 	36333 	35518 	: 	: 	: 	34645 	40732 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BEDPL,NR,I551,MK	: 	23146 	20500 	19567 	18160 	16687 	15744 	14864 	13943 	13046 	11904 	10909 	: 	: 	: 	: 	: 	16488 	16342 	15950 	16418 	15955 	15476 	15063 	15032 	14988 	14282 	14333 	14409 	14501 
BEDPL,NR,I551,MT	: 	43522 	42973 	41684 	41283 	40222 	41626 	39264 	38325 	39139 	39062 	38876 	39985 	39518 	37322 	40779 	40115 	39624 	39020 	40782 	40742 	38784 	41728 	38052 	37190 	37677 	36169 	33989 	33999 	33646 
BEDPL,NR,I551,NL	: 	286069 	270098 	261164 	254589 	252115 	244145 	226341 	213932 	211772 	203852 	198647 	200254 	192067 	192215 	189835 	180158 	177435 	174314 	173066 	169749 	169078 	157926 	142800 	142516 	138060 	133030 	115844 	112583 	111329 
BEDPL,NR,I551,NO	: 	201711 	188235 	187943 	183912 	185437 	187243 	186675 	178203 	175466 	169245 	157266 	154311 	151252 	143568 	141095 	143798 	143634 	143804 	140580 	137653 	137188 	135605 	133521 	131217 	129199 	123136 	120480 	116926 	112660 
BEDPL,NR,I551,PL	: 	353785 	335917 	325776 	301555 	292521 	274297 	264145 	252511 	240967 	221633 	210507 	190387 	178056 	169609 	165311 	134323 	127559 	118213 	120280 	120285 	120589 	111316 	102272 	93309 	87837 	89549 	75422 	66431 	65577 
BEDPL,NR,I551,PT	: 	358723 	363088 	337175 	328186 	309918 	309918 	296321 	289107 	279506 	273804 	273975 	264747 	264037 	263814 	253927 	245778 	239903 	228665 	222958 	216828 	215572 	211315 	208205 	204051 	202442 	198862 	190892 	188501 	179337 
BEDPL,NR,I551,RO	: 	223177 	219750 	213635 	225227 	217721 	214620 	212530 	248592 	258238 	247426 	237917 	228123 	226383 	216499 	207810 	201636 	197320 	199320 	199333 	202991 	204876 	205446 	205226 	205668 	209244 	211413 	222599 	225556 	263497 
BEDPL,NR,I551,RS	: 	53252 	: 	: 	: 	54075 	55729 	50536 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BEDPL,NR,I551,SE	: 	251894 	245963 	240883 	236555 	238852 	235752 	228387 	225343 	224444 	221767 	218164 	207439 	201316 	197470 	189988 	184771 	180804 	194839 	188289 	184970 	184545 	182604 	177620 	173759 	173521 	163312 	166197 	168677 	161851 
BEDPL,NR,I551,SI	: 	: 	46639 	45716 	45274 	44567 	44472 	44526 	44712 	43851 	44185 	43921 	33040 	31145 	29971 	29668 	29179 	28211 	27695 	30576 	29541 	30677 	30814 	32666 	30755 	35543 	31378 	31002 	30512 	31353 
BEDPL,NR,I551,SK	: 	101590 	96776 	95774 	96997 	91663 	92261 	92790 	75266 	74597 	74066 	70113 	67178 	57985 	57071 	56296 	55326 	53856 	48723 	43763 	43304 	48887 	37782 	41700 	39281 	36375 	28966 	24363 	33204 	28647 
BEDPL,NR,I551,TR	: 	1478106 	932575 	897456 	: 	805311 	748594 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	704637 	669904 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BEDPL,NR,I551,UK	: 	: 	: 	1950485 	1954849 	1943293 	2018172 	1571120 	1410580 	1416177 	1410834 	1238660 	1245064 	1255693 	1062342 	1223047 	1203701 	1188075 	1129503 	1119433 	1176490 	1096484 	1052166 	1050223 	1050223 	1044586 	1040339 	1036463 	1108301 	1085994 
BEDPL,NR,I551,XK	: 	: 	7704 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
